Intersection,Count,Percentage
White x Female,31459,5.877594182753029
Latina x Female,17242,3.221382717156544
Asian x Female,16520,3.0864889506684903
Black x Female,15966,2.9829832074075737
Other x Female,14516,2.7120746736019252
White x Male,7112,1.3287596499488077
Black x Male,6362,1.1886345462562309
Other x Male,5202,0.9719077192117123
Latina x Male,4836,0.9035266686097347
Asian x Male,3908,0.7301452069741198
African x Female,2228,0.416264974702748
African x Male,536,0.10014274077229483
Black x Trans,30,0.00560500414770307
Latina x Trans,18,0.0033630024886218413
Asian x Trans,15,0.002802502073851535
Other x Trans,14,0.0026156686022614324
White x Trans,9,0.0016815012443109206
African x Trans,5,0.0009341673579505116
