Race,Gender,Orientation,Count,Percentage
White,Female,Other/Unspecified,29222,5.45964770680597
Latina,Female,Other/Unspecified,16282,3.042022584430046
Asian,Female,Other/Unspecified,15972,2.984104208237114
Black,Female,Other/Unspecified,14836,2.771861384510758
Mixed_or_other,Female,Other/Unspecified,13790,2.576433573227511
White,Male,Other/Unspecified,7012,1.3100763027897975
Black,Male,Other/Unspecified,6252,1.1680828643813197
Mixed_or_other,Male,Other/Unspecified,5048,0.9431353645868364
Latina,Male,Other/Unspecified,4714,0.8807329850757423
Asian,Male,Other/Unspecified,3859,0.7209903668662048
White,Female,Lesbian,2212,0.4132756391573063
Middle_eastern_north_african,Female,Other/Unspecified,2185,0.40823113542437356
Black,Female,Lesbian,1097,0.20495631833434225
Latina,Female,Lesbian,927,0.17319462816402484
Mixed_or_other,Female,Lesbian,688,0.1285414284539904
Asian,Female,Lesbian,533,0.09958224035752453
Middle_eastern_north_african,Male,Other/Unspecified,528,0.09864807299957402
Mixed_or_other,Male,Bisexual,118,0.022046349647632073
Latina,Male,Lesbian,64,0.011957342181766547
Black,Male,Lesbian,63,0.011770508710176446
White,Male,Lesbian,52,0.00971534052268532
Latina,Male,Bisexual,48,0.00896800663632491
White,Male,Bisexual,45,0.008407506221554603
Black,Male,Bisexual,41,0.007660172335194195
Middle_eastern_north_african,Female,Lesbian,38,0.007099671920423887
Mixed_or_other,Female,Bisexual,34,0.0063523380340634785
Mixed_or_other,Male,Lesbian,32,0.005978671090883274
Latina,Female,Bisexual,31,0.005791837619293172
Asian,Male,Lesbian,25,0.004670836789752558
Black,Female,Bisexual,25,0.004670836789752558
White,Female,Bisexual,24,0.004484003318162455
Latina,Trans,Other/Unspecified,17,0.0031761690170317393
Black,Trans,Lesbian,16,0.002989335545441637
Asian,Female,Bisexual,15,0.002802502073851535
Asian,Male,Bisexual,13,0.00242883513067133
Black,Trans,Other/Unspecified,12,0.0022420016590812275
Asian,Trans,Other/Unspecified,12,0.0022420016590812275
Asian,Male,Gay,11,0.0020551681874911255
Mixed_or_other,Trans,Other/Unspecified,11,0.0020551681874911255
Latina,Male,Gay,10,0.001868334715901023
Black,Female,Gay,8,0.0014946677727208184
White,Trans,Other/Unspecified,7,0.0013078343011307162
Black,Male,Gay,6,0.0011210008295406138
Middle_eastern_north_african,Male,Gay,5,0.0009341673579505115
Middle_eastern_north_african,Trans,Other/Unspecified,5,0.0009341673579505115
Middle_eastern_north_african,Female,Bisexual,5,0.0009341673579505115
Mixed_or_other,Female,Gay,4,0.0007473338863604092
Mixed_or_other,Male,Gay,4,0.0007473338863604092
Asian,Trans,Lesbian,3,0.0005605004147703069
White,Male,Gay,3,0.0005605004147703069
Mixed_or_other,Trans,Gay,2,0.0003736669431802046
Middle_eastern_north_african,Male,Bisexual,2,0.0003736669431802046
Black,Trans,Gay,2,0.0003736669431802046
Latina,Female,Gay,2,0.0003736669431802046
Mixed_or_other,Trans,Lesbian,1,0.0001868334715901023
Middle_eastern_north_african,Male,Lesbian,1,0.0001868334715901023
Latina,Trans,Gay,1,0.0001868334715901023
White,Trans,Lesbian,1,0.0001868334715901023
White,Trans,Bisexual,1,0.0001868334715901023
White,Female,Gay,1,0.0001868334715901023
