Group,Month,N,Share %
Asian Women,1,607,4.0
Asian Women,2,759,5.0
Asian Women,3,904,5.9
Asian Women,4,956,6.3
Asian Women,5,1207,7.9
Asian Women,6,1404,9.2
Asian Women,7,2455,16.2
Asian Women,8,2817,18.5
Asian Women,9,961,6.3
Asian Women,10,1151,7.6
Asian Women,11,1024,6.7
Asian Women,12,951,6.3
Black Women,1,799,5.0
Black Women,2,949,5.9
Black Women,3,1011,6.3
Black Women,4,1050,6.6
Black Women,5,1093,6.8
Black Women,6,1433,9.0
Black Women,7,3066,19.2
Black Women,8,2505,15.7
Black Women,9,1138,7.1
Black Women,10,1074,6.7
Black Women,11,890,5.6
Black Women,12,958,6.0
Latina Women,1,667,4.7
Latina Women,2,679,4.8
Latina Women,3,821,5.8
Latina Women,4,903,6.4
Latina Women,5,949,6.7
Latina Women,6,1480,10.5
Latina Women,7,2632,18.7
Latina Women,8,2666,18.9
Latina Women,9,841,6.0
Latina Women,10,830,5.9
Latina Women,11,720,5.1
Latina Women,12,882,6.3
White Women,1,2025,7.0
White Women,2,2116,7.4
White Women,3,2355,8.2
White Women,4,2071,7.2
White Women,5,2290,8.0
White Women,6,2346,8.2
White Women,7,3269,11.4
White Women,8,3020,10.5
White Women,9,2199,7.6
White Women,10,2547,8.9
White Women,11,2282,7.9
White Women,12,2247,7.8
