Category,Video Count,Percentage
blowjob,203781,38.07311167410264
big tits,172418,32.21345350462226
amateur,151900,28.38000433453654
masturbation,124667,23.291968402723285
teens,115106,21.505653580850318
blonde,111899,20.90647863746086
cumshot,84643,15.81414553580103
brunette,67062,12.52942627177544
creampie,52785,9.86200479788355
fetish,52153,9.743926043838606
anal,49371,9.224155325874941
asian,45820,8.560709668258488
interracial,32363,6.046491641070481
lesbian,30669,5.7299957401968475
public,22199,4.1475162358286815
