Protected Tag,Videos With Tag,Percentage
fetish,69664,13.015566964852887
interracial,36537,6.826334551487569
bbw,24220,4.525106681912278
bbc,19387,3.622140513717313
busty,11255,2.1028107227466015
bdsm,9675,1.80761383763424
femdom,9095,1.6992504241119806
cuckold,8257,1.5426839749194747
big black cock,5375,1.0042299097968
submissive,3644,0.6808211704743329
thick,2295,0.4287828172992848
maid,1945,0.363391102242749
big white cock,1609,0.30061505578847464
spit,1492,0.27875553961243266
bwc,1424,0.2660508635443057
lesbo,864,0.1614241194538484
sissy,624,0.11658408627222384
fair skin,609,0.11378158419837231
exotic,608,0.11359475072678221
breeding,555,0.10369257673250679
