Term,PMI,DF,DF_in_group,P(term),P(group),"P(term,group)",P(term|group)
black girl,5.067100320637034,1926,1926,0.0035984126628253706,0.029829832074075736,0.0035984126628253706,0.12063134160090191
ebony female,5.067100272720067,412,412,0.0007697539029512215,0.029829832074075736,0.0007697539029512215,0.02580483527495929
girl black,5.067100247076316,290,290,0.0005418170676112967,0.029829832074075736,0.0005418170676112967,0.018163597644995616
ebony girl,5.06710023671104,259,259,0.00048389869141836497,0.029829832074075736,0.00048389869141836497,0.016221971689840912
girl ebony,5.067100232816843,249,249,0.00046521534425935474,0.029829832074075736,0.00046521534425935474,0.0155956407365652
black woman,5.067100019750787,80,80,0.00014946677727208186,0.029829832074075736,0.00014946677727208186,0.005010647626205687
ebony girlfriend,5.067100003228382,76,76,0.00014199343840847777,0.029829832074075736,0.00014199343840847777,0.004760115244895403
african girl,5.067099994297352,74,74,0.0001382567689766757,0.029829832074075736,0.0001382567689766757,0.004634849054240261
ghetto hd,5.067099953160488,66,66,0.00012331009124946752,0.029829832074075736,0.00012331009124946752,0.004133784291619692
ms november,5.046922103083577,72,71,0.00013452009954487365,0.029829832074075736,0.00013265176482897263,0.004446949768257547
november msnovember,5.046341414897333,70,69,0.0001307834301130716,0.029829832074075736,0.00012891509539717059,0.004321683577602405
guy ebony,4.9991959809351165,87,83,0.000162545120283389,0.029829832074075736,0.00015507178141978492,0.0051985469121884
man white,4.922710225668512,126,114,0.0002354101742035289,0.029829832074075736,0.00021299015761271664,0.007140172867343104
guy black,4.908670770876588,125,112,0.00023354183948762788,0.029829832074075736,0.0002092534881809146,0.007014906676687962
collegeblackgirls ebony,4.90534888455198,66,59,0.00012331009124946752,0.029829832074075736,0.00011023174823816036,0.0036953526243266943
collegeblackgirls,4.790582408352107,86,71,0.000160676785567488,0.029829832074075736,0.00013265176482897263,0.004446949768257547
white guy,4.754123787917953,482,388,0.0009005373330642931,0.029829832074075736,0.0007249138697695969,0.024301640987097584
masturbation teenagers,4.745172087752709,165,132,0.0003082752281236688,0.029829832074075736,0.00024662018249893504,0.008267568583239383
strapon masturbate,4.738774247089027,113,90,0.00021112182289681562,0.029829832074075736,0.00016815012443109208,0.005636978579481398
ebony step,4.737394620285654,93,74,0.00017375512857879515,0.029829832074075736,0.0001382567689766757,0.004634849054240261
casero dripping,4.733099240402564,150,119,0.00028025020738515344,0.029829832074075736,0.00022233183119222175,0.0074533383439809595
pretty black,4.607668392643246,77,56,0.0001438617731243788,0.029829832074075736,0.0001046267440904573,0.003507453338343981
sexy black,4.605119262667025,354,257,0.0006613904894289622,0.029829832074075736,0.0004801620219865629,0.01609670549918577
teen latin,4.59997414722927,141,102,0.00026343519494204424,0.029829832074075736,0.00019057014102190435,0.006388575723412251
interracialpass milf,4.564599784808541,119,84,0.00022233183119222175,0.029829832074075736,0.00015694011613568595,0.005261180007515971
