Term,PMI,DF,DF_in_group,P(term),P(group),"P(term,group)",P(term|group)
black girl,5.067100320637034,1926,1926,0.0035984126628253706,0.029829832074075736,0.0035984126628253706,0.12063134160090191
ebony female,5.067100272720067,412,412,0.0007697539029512215,0.029829832074075736,0.0007697539029512215,0.02580483527495929
girl black,5.067100247076316,290,290,0.0005418170676112967,0.029829832074075736,0.0005418170676112967,0.018163597644995616
ebony girl,5.06710023671104,259,259,0.00048389869141836497,0.029829832074075736,0.00048389869141836497,0.016221971689840912
girl ebony,5.067100232816843,249,249,0.00046521534425935474,0.029829832074075736,0.00046521534425935474,0.0155956407365652
black woman,5.067100019750787,80,80,0.00014946677727208186,0.029829832074075736,0.00014946677727208186,0.005010647626205687
ebony girlfriend,5.067100003228382,76,76,0.00014199343840847777,0.029829832074075736,0.00014199343840847777,0.004760115244895403
african girl,5.067099994297352,74,74,0.0001382567689766757,0.029829832074075736,0.0001382567689766757,0.004634849054240261
ghetto hd,5.067099953160488,66,66,0.00012331009124946752,0.029829832074075736,0.00012331009124946752,0.004133784291619692
ms november,5.046922103083577,72,71,0.00013452009954487365,0.029829832074075736,0.00013265176482897263,0.004446949768257547
november msnovember,5.046341414897333,70,69,0.0001307834301130716,0.029829832074075736,0.00012891509539717059,0.004321683577602405
guy ebony,4.9991959809351165,87,83,0.000162545120283389,0.029829832074075736,0.00015507178141978492,0.0051985469121884
man white,4.922710225668512,126,114,0.0002354101742035289,0.029829832074075736,0.00021299015761271664,0.007140172867343104
guy black,4.908670770876588,125,112,0.00023354183948762788,0.029829832074075736,0.0002092534881809146,0.007014906676687962
collegeblackgirls ebony,4.90534888455198,66,59,0.00012331009124946752,0.029829832074075736,0.00011023174823816036,0.0036953526243266943
collegeblackgirls,4.790582408352107,86,71,0.000160676785567488,0.029829832074075736,0.00013265176482897263,0.004446949768257547
white guy,4.754123787917953,482,388,0.0009005373330642931,0.029829832074075736,0.0007249138697695969,0.024301640987097584
masturbation teenagers,4.745172087752709,165,132,0.0003082752281236688,0.029829832074075736,0.00024662018249893504,0.008267568583239383
strapon masturbate,4.738774247089027,113,90,0.00021112182289681562,0.029829832074075736,0.00016815012443109208,0.005636978579481398
ebony step,4.737394620285654,93,74,0.00017375512857879515,0.029829832074075736,0.0001382567689766757,0.004634849054240261
casero dripping,4.733099240402564,150,119,0.00028025020738515344,0.029829832074075736,0.00022233183119222175,0.0074533383439809595
pretty black,4.607668392643246,77,56,0.0001438617731243788,0.029829832074075736,0.0001046267440904573,0.003507453338343981
sexy black,4.605119262667025,354,257,0.0006613904894289622,0.029829832074075736,0.0004801620219865629,0.01609670549918577
teen latin,4.59997414722927,141,102,0.00026343519494204424,0.029829832074075736,0.00019057014102190435,0.006388575723412251
interracialpass milf,4.564599784808541,119,84,0.00022233183119222175,0.029829832074075736,0.00015694011613568595,0.005261180007515971
black4k czech,4.531768353008599,100,69,0.0001868334715901023,0.029829832074075736,0.00012891509539717059,0.004321683577602405
hot black,4.529834470929367,238,164,0.0004446636623844435,0.029829832074075736,0.0003064068934077678,0.01027182763372166
old airplane,4.522779640594549,140,96,0.0002615668602261432,0.029829832074075736,0.0001793601327264982,0.006012777151446824
blackhaired ebony,4.5145591231196525,132,90,0.00024662018249893504,0.029829832074075736,0.00016815012443109208,0.005636978579481398
black panties,4.468462662879638,106,70,0.00019804347988550846,0.029829832074075736,0.0001307834301130716,0.004384316672929977
airplane fingering,4.466951299739057,191,126,0.0003568519307370954,0.029829832074075736,0.0002354101742035289,0.007891770011273957
latina black,4.451763840810136,72,47,0.00013452009954487365,0.029829832074075736,8.781173164734808e-05,0.0029437554803958413
dildo black,4.439068747933069,68,44,0.00012704676068126956,0.029829832074075736,8.220672749964502e-05,0.002755856194413128
amateurs african,4.4164344169045435,146,93,0.00027277686852154935,0.029829832074075736,0.00017375512857879515,0.005824877865464111
filma esposa,4.4041349964327905,76,48,0.00014199343840847777,0.029829832074075736,8.96800663632491e-05,0.003006388575723412
black lover,4.4025204993735345,149,94,0.0002783818726692524,0.029829832074075736,0.00017562346329469617,0.005887510960791683
mixed girl,4.400226475036909,154,97,0.0002877235462487576,0.029829832074075736,0.00018122846744239923,0.006075410246774396
white wife,4.39894368484955,116,73,0.00021672682704451868,0.029829832074075736,0.00013638843426077467,0.00457221595891269
teen black4k,4.389028043395935,64,40,0.00011957342181766547,0.029829832074075736,7.473338863604093e-05,0.0025053238131028436
milf black,4.3852761336538615,154,96,0.0002877235462487576,0.029829832074075736,0.0001793601327264982,0.006012777151446824
corno filma,4.38527597360496,77,48,0.0001438617731243788,0.029829832074075736,8.96800663632491e-05,0.003006388575723412
interracial black,4.382601885568517,90,56,0.00016815012443109208,0.029829832074075736,0.0001046267440904573,0.003507453338343981
fingering homemade,4.376784717127349,213,132,0.00039795529448691794,0.029829832074075736,0.00024662018249893504,0.008267568583239383
black dress,4.359551089142965,178,109,0.0003325635794303821,0.029829832074075736,0.00020364848403321153,0.006827007390705249
daddy ebony,4.353981235260994,100,61,0.0001868334715901023,0.029829832074075736,0.00011396841766996241,0.0038206188149818364
beautiful black,4.343617622236725,71,43,0.00013265176482897263,0.029829832074075736,8.0338392783744e-05,0.002693223099085557
lover black,4.339625944846918,101,61,0.00018870180630600332,0.029829832074075736,0.00011396841766996241,0.0038206188149818364
black dildo,4.33104519786641,528,317,0.0009864807299957402,0.029829832074075736,0.0005922621049406243,0.019854691218840034
black guy,4.330134689814819,495,297,0.0009248256843710065,0.029829832074075736,0.0005548954106226039,0.018602029312288614
sexyninarivera,4.330134466185084,90,54,0.00016815012443109208,0.029829832074075736,0.00010089007465865525,0.0033821871476888386
cuckold ebony,4.316328799488732,175,104,0.00032695857528267905,0.029829832074075736,0.0001943068104537064,0.006513841914067393
girl pass,4.3052597557829735,78,46,0.0001457301078402798,0.029829832074075736,8.594339693144706e-05,0.00288112238506827
guy white,4.300840309234507,199,117,0.0003717986084643036,0.029829832074075736,0.0002185951617604197,0.007328072153325817
black milf,4.28574039688774,110,64,0.00020551681874911255,0.029829832074075736,0.00011957342181766547,0.00400851810096455
ebony black,4.284087243417413,191,111,0.0003568519307370954,0.029829832074075736,0.00020738515346501357,0.0069522735813603905
housewife husband,4.282828628661463,62,36,0.00011583675238586343,0.029829832074075736,6.726004977243683e-05,0.002254791431792559
girl white,4.27145879883237,736,424,0.001375094350903153,0.029829832074075736,0.0007921739195420338,0.026556432418890143
couple black,4.26302032057917,110,63,0.00020551681874911255,0.029829832074075736,0.00011770508710176445,0.003945885005636978
pussy black,4.2597453385983135,336,192,0.0006277604645427438,0.029829832074075736,0.0003587202654529964,0.012025554302893648
toys black,4.256577917347666,114,65,0.00021299015761271664,0.029829832074075736,0.0001214417565335665,0.004071151196292121
black man,4.237830573596911,398,224,0.0007435972169286072,0.029829832074075736,0.0004185069763618292,0.014029813353375924
black lingerie,4.235807294905672,395,222,0.0007379922127809041,0.029829832074075736,0.00041477030693002714,0.013904547162720781
black amateur,4.22704107755352,145,81,0.00027090853380564833,0.029829832074075736,0.00015133511198798288,0.005073280721533258
black long,4.219103038291219,63,35,0.00011770508710176445,0.029829832074075736,6.53917150565358e-05,0.0021921583364649883
fucking black,4.216243530471879,101,56,0.00018870180630600332,0.029829832074075736,0.0001046267440904573,0.003507453338343981
bbw black,4.2146573964902565,195,108,0.0003643252696006995,0.029829832074075736,0.0002017801493173105,0.006764374295377677
black tits,4.210835577915825,105,58,0.0001961751451696074,0.029829832074075736,0.00010836341352225934,0.003632719528999123
black girls,4.205483653516134,149,82,0.0002783818726692524,0.029829832074075736,0.0001532034467038839,0.00513591381686083
