Term,PMI,DF,DF_in_group,P(term),P(group),"P(term,group)",P(term|group)
girl group,2.1602094031534533,60,8,0.00011210008295406139,0.029829832074075736,1.4946677727208184e-05,0.0005010647626205688
girlfriend fucks,2.1602094031534533,60,8,0.00011210008295406139,0.029829832074075736,1.4946677727208184e-05,0.0005010647626205688
tsunami,1.7451719360488704,60,6,0.00011210008295406139,0.029829832074075736,1.1210008295406138e-05,0.0003757985719654265
girl uses,1.4821375559544852,60,5,0.00011210008295406139,0.029829832074075736,9.341673579505116e-06,0.00031316547663785545
goddesses,1.4821375559544852,60,5,0.00011210008295406139,0.029829832074075736,9.341673579505116e-06,0.00031316547663785545
mom fucked,1.4821375559544852,60,5,0.00011210008295406139,0.029829832074075736,9.341673579505116e-06,0.00031316547663785545
new nepali,1.4821375559544852,60,5,0.00011210008295406139,0.029829832074075736,9.341673579505116e-06,0.00031316547663785545
babe seduces,1.1602094996762342,60,4,0.00011210008295406139,0.029829832074075736,7.473338863604092e-06,0.0002505323813102844
girl young,1.1602094996762342,60,4,0.00011210008295406139,0.029829832074075736,7.473338863604092e-06,0.0002505323813102844
glasses hairy,1.1602094996762342,60,4,0.00011210008295406139,0.029829832074075736,7.473338863604092e-06,0.0002505323813102844
karupsolderwomen mature,1.1602094996762342,60,4,0.00011210008295406139,0.029829832074075736,7.473338863604092e-06,0.0002505323813102844
need dick,0.7451720647459072,60,3,0.00011210008295406139,0.029829832074075736,5.605004147703069e-06,0.00018789928598271326
fuck stepdad,0.7451720647459072,60,3,0.00011210008295406139,0.029829832074075736,5.605004147703069e-06,0.00018789928598271326
artemisia love,0.1602096927217759,60,2,0.00011210008295406139,0.029829832074075736,3.736669431802046e-06,0.0001252661906551422
gang banged,0.1602096927217759,60,2,0.00011210008295406139,0.029829832074075736,3.736669431802046e-06,0.0001252661906551422
girl rubbing,0.1602096927217759,60,2,0.00011210008295406139,0.029829832074075736,3.736669431802046e-06,0.0001252661906551422
gives good,0.1602096927217759,60,2,0.00011210008295406139,0.029829832074075736,3.736669431802046e-06,0.0001252661906551422
pussy roleplay,0.1602096927217759,60,2,0.00011210008295406139,0.029829832074075736,3.736669431802046e-06,0.0001252661906551422
model sex,-0.8397899211872175,60,1,0.00011210008295406139,0.029829832074075736,1.868334715901023e-06,6.26330953275711e-05
tickle tickle,-0.8397899211872175,60,1,0.00011210008295406139,0.029829832074075736,1.868334715901023e-06,6.26330953275711e-05
solo pleasure,-0.8397899211872175,60,1,0.00011210008295406139,0.029829832074075736,1.868334715901023e-06,6.26330953275711e-05
shower soapy,-0.8397899211872175,60,1,0.00011210008295406139,0.029829832074075736,1.868334715901023e-06,6.26330953275711e-05
salad big,-0.8397899211872175,60,1,0.00011210008295406139,0.029829832074075736,1.868334715901023e-06,6.26330953275711e-05
pussy sara,-0.8397899211872175,60,1,0.00011210008295406139,0.029829832074075736,1.868334715901023e-06,6.26330953275711e-05
fuck table,-0.8397899211872175,60,1,0.00011210008295406139,0.029829832074075736,1.868334715901023e-06,6.26330953275711e-05
body masturbation,-0.8397899211872175,60,1,0.00011210008295406139,0.029829832074075736,1.868334715901023e-06,6.26330953275711e-05
asian beach,-0.8397899211872175,60,1,0.00011210008295406139,0.029829832074075736,1.868334715901023e-06,6.26330953275711e-05
1825 bj,-0.8397899211872175,60,1,0.00011210008295406139,0.029829832074075736,1.868334715901023e-06,6.26330953275711e-05
colombiana hot,-0.8397899211872175,60,1,0.00011210008295406139,0.029829832074075736,1.868334715901023e-06,6.26330953275711e-05
fuck teenager,-21.67311220259778,60,0,0.00011210008295406139,0.029829832074075736,0.0,0.0
tit asian,-21.67311220259778,60,0,0.00011210008295406139,0.029829832074075736,0.0,0.0
rest solo,-21.67311220259778,60,0,0.00011210008295406139,0.029829832074075736,0.0,0.0
modelmediaasia asian,-21.67311220259778,60,0,0.00011210008295406139,0.029829832074075736,0.0,0.0
kinkycouple111 samantha,-21.67311220259778,60,0,0.00011210008295406139,0.029829832074075736,0.0,0.0
kasey,-21.67311220259778,60,0,0.00011210008295406139,0.029829832074075736,0.0,0.0
kantotan,-21.67311220259778,60,0,0.00011210008295406139,0.029829832074075736,0.0,0.0
glans,-21.67311220259778,60,0,0.00011210008295406139,0.029829832074075736,0.0,0.0
girls doegirls,-21.67311220259778,60,0,0.00011210008295406139,0.029829832074075736,0.0,0.0
car fetish,-21.67311220259778,60,0,0.00011210008295406139,0.029829832074075736,0.0,0.0
cumshot lesbian,-21.67311220259778,60,0,0.00011210008295406139,0.029829832074075736,0.0,0.0
cumshot christiana,-21.67311220259778,60,0,0.00011210008295406139,0.029829832074075736,0.0,0.0
boquete perfeito,-21.67311220259778,60,0,0.00011210008295406139,0.029829832074075736,0.0,0.0
bolster,-21.67311220259778,60,0,0.00011210008295406139,0.029829832074075736,0.0,0.0
blowjob stepbrother,-21.67311220259778,60,0,0.00011210008295406139,0.029829832074075736,0.0,0.0
asakura,-21.67311220259778,60,0,0.00011210008295406139,0.029829832074075736,0.0,0.0
amateur deep,-21.67311220259778,60,0,0.00011210008295406139,0.029829832074075736,0.0,0.0
40somethingmag 4k,-21.67311220259778,60,0,0.00011210008295406139,0.029829832074075736,0.0,0.0
18 erotic,-21.67311220259778,60,0,0.00011210008295406139,0.029829832074075736,0.0,0.0
vrai,-21.67311220259778,60,0,0.00011210008295406139,0.029829832074075736,0.0,0.0
