Group,an,asf,asm,cds,ddf,ddp,dmc,is,om,or,pa,pr,ps,qas,rci,re,svp
gender_female,21.3,24.5,68.9,29.4,1.3,1.8,9.8,0.2,18.5,33.9,1.1,8.6,17.3,68.6,0.0,29.5,1.0
gender_gender_male,23.0,21.2,79.1,32.4,1.2,1.7,10.7,0.3,15.7,28.4,0.8,8.5,17.6,71.6,0.0,27.9,1.2
gender_gender_trans,17.8,16.8,76.6,30.8,2.4,1.7,5.9,0.0,25.9,23.4,1.4,9.4,14.0,83.6,0.0,21.7,1.4
intersectional_black_female,23.3,22.3,81.4,29.0,0.7,1.5,8.5,0.1,19.5,37.5,1.2,8.9,74.1,66.1,0.0,28.9,0.7
race_ethnicity_asian,14.6,37.6,55.2,21.4,0.7,1.5,7.3,0.1,10.9,22.9,0.4,6.4,99.9,48.5,0.0,18.2,0.5
race_ethnicity_black,21.3,30.6,83.5,29.1,0.6,1.4,8.1,0.1,20.2,32.4,0.7,7.2,69.9,57.5,0.0,23.0,0.7
race_ethnicity_latina,19.6,23.2,81.3,28.4,0.5,1.2,8.5,0.1,20.6,27.4,0.6,5.5,12.2,74.6,0.0,36.0,0.5
race_ethnicity_middle_eastern_north_african,18.8,9.6,78.0,21.5,0.4,1.1,6.5,0.1,14.8,23.1,0.5,5.0,35.7,88.3,0.0,25.8,0.3
race_ethnicity_mixed_or_other,21.2,34.2,85.7,28.8,0.7,1.4,9.0,0.1,20.6,25.6,0.4,8.2,47.9,43.8,0.0,21.8,0.8
race_ethnicity_white,15.4,69.0,58.2,24.1,0.3,1.2,15.0,0.1,16.9,14.9,0.4,5.3,20.4,30.5,0.0,16.2,0.6
