Group,an,asf,asm,cds,ddf,ddp,dmc,is,om,or,pa,pr,ps,qas,rci,re,svp
gender_female,42848,49184,138649,59058,2652,3715,19753,381,37258,68248,2263,17289,34786,137925,4,59274,1917
gender_gender_male,13775,12692,47330,19387,740,1029,6392,198,9371,16981,455,5097,10519,42861,1,16729,691
gender_gender_trans,51,48,219,88,7,5,17,0,74,67,4,27,40,239,0,62,4
intersectional_black_female,3720,3559,12991,4624,117,246,1355,20,3109,5994,189,1418,11829,10551,0,4617,106
race_ethnicity_asian,7675,19835,29107,11265,383,806,3874,51,5736,12051,188,3362,52655,25545,0,9589,282
race_ethnicity_black,10289,14740,40280,14050,312,688,3927,53,9735,15643,332,3490,33718,27749,5,11080,320
race_ethnicity_latina,9183,10888,38159,13313,255,569,3980,59,9676,12853,283,2561,5735,35009,0,16870,248
race_ethnicity_middle_eastern_north_african,948,483,3934,1086,22,54,328,5,747,1163,23,252,1799,4455,0,1303,16
race_ethnicity_mixed_or_other,9286,14969,37554,12632,292,632,3949,53,9005,11229,193,3599,20987,19202,0,9561,365
race_ethnicity_white,14831,66350,55938,23130,311,1125,14445,97,16242,14341,419,5083,19587,29364,0,15527,604
