Group,HurtLex Category,Count,N,Prevalence (%)
gender_female,an,42848,201107,21.3
gender_female,asf,49184,201107,24.5
gender_female,asm,138649,201107,68.9
gender_female,cds,59058,201107,29.4
gender_female,ddf,2652,201107,1.3
gender_female,ddp,3715,201107,1.8
gender_female,dmc,19753,201107,9.8
gender_female,is,381,201107,0.2
gender_female,om,37258,201107,18.5
gender_female,or,68248,201107,33.9
gender_female,pa,2263,201107,1.1
gender_female,pr,17289,201107,8.6
gender_female,ps,34786,201107,17.3
gender_female,qas,137925,201107,68.6
gender_female,rci,4,201107,0.0
gender_female,re,59274,201107,29.5
gender_female,svp,1917,201107,1.0
gender_gender_male,an,13775,59866,23.0
gender_gender_male,asf,12692,59866,21.2
gender_gender_male,asm,47330,59866,79.1
gender_gender_male,cds,19387,59866,32.4
gender_gender_male,ddf,740,59866,1.2
gender_gender_male,ddp,1029,59866,1.7
gender_gender_male,dmc,6392,59866,10.7
gender_gender_male,is,198,59866,0.3
gender_gender_male,om,9371,59866,15.7
gender_gender_male,or,16981,59866,28.4
gender_gender_male,pa,455,59866,0.8
gender_gender_male,pr,5097,59866,8.5
gender_gender_male,ps,10519,59866,17.6
gender_gender_male,qas,42861,59866,71.6
gender_gender_male,rci,1,59866,0.0
gender_gender_male,re,16729,59866,27.9
gender_gender_male,svp,691,59866,1.2
gender_gender_trans,an,51,286,17.8
gender_gender_trans,asf,48,286,16.8
gender_gender_trans,asm,219,286,76.6
gender_gender_trans,cds,88,286,30.8
gender_gender_trans,ddf,7,286,2.4
gender_gender_trans,ddp,5,286,1.7
gender_gender_trans,dmc,17,286,5.9
gender_gender_trans,is,0,286,0.0
gender_gender_trans,om,74,286,25.9
gender_gender_trans,or,67,286,23.4
gender_gender_trans,pa,4,286,1.4
gender_gender_trans,pr,27,286,9.4
gender_gender_trans,ps,40,286,14.0
gender_gender_trans,qas,239,286,83.6
gender_gender_trans,rci,0,286,0.0
gender_gender_trans,re,62,286,21.7
gender_gender_trans,svp,4,286,1.4
intersectional_black_female,an,3720,15966,23.3
intersectional_black_female,asf,3559,15966,22.3
intersectional_black_female,asm,12991,15966,81.4
intersectional_black_female,cds,4624,15966,29.0
intersectional_black_female,ddf,117,15966,0.7
intersectional_black_female,ddp,246,15966,1.5
intersectional_black_female,dmc,1355,15966,8.5
intersectional_black_female,is,20,15966,0.1
intersectional_black_female,om,3109,15966,19.5
intersectional_black_female,or,5994,15966,37.5
intersectional_black_female,pa,189,15966,1.2
intersectional_black_female,pr,1418,15966,8.9
intersectional_black_female,ps,11829,15966,74.1
intersectional_black_female,qas,10551,15966,66.1
intersectional_black_female,rci,0,15966,0.0
intersectional_black_female,re,4617,15966,28.9
intersectional_black_female,svp,106,15966,0.7
race_ethnicity_asian,an,7675,52724,14.6
race_ethnicity_asian,asf,19835,52724,37.6
race_ethnicity_asian,asm,29107,52724,55.2
race_ethnicity_asian,cds,11265,52724,21.4
race_ethnicity_asian,ddf,383,52724,0.7
race_ethnicity_asian,ddp,806,52724,1.5
race_ethnicity_asian,dmc,3874,52724,7.3
race_ethnicity_asian,is,51,52724,0.1
race_ethnicity_asian,om,5736,52724,10.9
