Category,TrainPos,TrainN,ValPos,ValN,TestPos,TestN,ValAcc,ValPrec,ValRec,ValF1,ValAUROC,TestAcc,TestPrec,TestRec,TestF1,TestAUROC,PrevalenceTrain,DecisionThreshold
Amateur,91204,321141,30339,107047,30357,107048,0.8926,0.7717,0.8819,0.8231,0.958,0.8927,0.7696,0.8871,0.8242,0.9571,0.284,0.39
Big Tits,71602,321141,23806,107047,23810,107048,0.9265,0.8255,0.8487,0.837,0.9765,0.9278,0.8301,0.8491,0.8395,0.9768,0.222961,0.38
Anal,20770,321141,6864,107047,6940,107048,0.974,0.7772,0.8341,0.8046,0.9886,0.9736,0.7783,0.8297,0.8032,0.987,0.064676,0.32
Asian,20498,321141,6959,107047,6894,107048,0.978,0.8286,0.835,0.8318,0.9927,0.9776,0.8201,0.8354,0.8277,0.9924,0.063829,0.32
Blonde,28857,321141,9566,107047,9696,107048,0.9575,0.7596,0.7669,0.7632,0.9758,0.9593,0.7709,0.7831,0.7769,0.9779,0.089858,0.28
Blowjob,34601,321141,11639,107047,11542,107048,0.9427,0.739,0.7306,0.7348,0.9641,0.9417,0.7318,0.7256,0.7287,0.9625,0.107744,0.30000000000000004
Masturbation,9817,321141,3351,107047,3264,107048,0.9723,0.5524,0.6043,0.5772,0.9694,0.9729,0.5495,0.6088,0.5776,0.969,0.030569,0.22
Creampie,5998,321141,2033,107047,2043,107048,0.9778,0.4408,0.6208,0.5155,0.9749,0.9767,0.4216,0.6001,0.4953,0.9739,0.018677,0.15000000000000002
Fetish,4664,321141,1539,107047,1473,107048,0.9882,0.6286,0.4431,0.5198,0.9705,0.9882,0.5993,0.4365,0.5051,0.972,0.014523,0.21000000000000002
Cumshot,3679,321141,1193,107047,1241,107048,0.9863,0.3885,0.3956,0.392,0.9491,0.9855,0.3748,0.3787,0.3768,0.9519,0.011456,0.13
Feet,2407,321141,811,107047,777,107048,0.9928,0.5242,0.5203,0.5223,0.9834,0.9924,0.4763,0.4775,0.4769,0.9798,0.007495,0.23
Brunette,6808,321141,2306,107047,2327,107048,0.9791,0.516,0.5182,0.5171,0.9611,0.9789,0.5147,0.5049,0.5098,0.9629,0.021199,0.14
