Group,AdjustedRate,Gap_vs_Priv,threshold
Asian Women,1.0,0.0,0.0
Black Women,1.0,0.0,0.0
Latina Women,1.0,0.0,0.0
Other,1.0,0.0,0.0
White Women,1.0,0.0,0.0
Asian Women,0.9855215531424811,-0.013609486134543491,0.005
Black Women,1.0,0.000868960722975376,0.005
Latina Women,0.9992892679459844,0.00015822866895975896,0.005
Other,0.9909266325557193,-0.00820440672130529,0.005
White Women,0.9991310392770246,0.0,0.005
Asian Women,0.9759789404409345,-0.02158796953473463,0.01
Black Women,1.0,0.0024330900243308973,0.01
Latina Women,0.9992892679459844,0.0017223579703152803,0.01
Other,0.9851487295117509,-0.012418180463918183,0.01
White Women,0.9975669099756691,0.0,0.01
Asian Women,0.9611714379730174,-0.03326721339994054,0.015
Black Women,0.9993736298152208,0.004934978442262872,0.015
Latina Women,0.9989339019189766,0.004495250546018625,0.015
Other,0.9758368745121846,-0.018601776860773356,0.015
White Women,0.994438651372958,0.0,0.015
Asian Women,0.9509707140506746,-0.03877554941821659,0.02
Black Women,0.9981208894456624,0.008374625976771188,0.02
Latina Women,0.998223169864961,0.008476906396069794,0.02
Other,0.9686388864799237,-0.021107376988967474,0.02
White Women,0.9897462634688912,0.0,0.02
Asian Women,0.9417571569595261,-0.04068983643637236,0.025
Black Women,0.995302223614156,0.012855230218257518,0.025
Latina Women,0.9971570717839374,0.01471007838803895,0.025
Other,0.9565844245945712,-0.025862568801327313,0.025
White Women,0.9824469933958985,0.0,0.025
Asian Women,0.9348469891411648,-0.03630351485605454,0.03
Black Women,0.9915440025054807,0.020393498508261332,0.03
Latina Women,0.9950248756218906,0.02387437162467121,0.03
Other,0.9475977798976671,-0.023552724099552225,0.03
White Women,0.9711505039972194,0.0,0.03
Asian Women,0.9249753208292202,-0.030186305865253282,0.035
Black Women,0.9862198559348575,0.03105822924038404,0.035
Latina Women,0.9936034115138592,0.03844178481938576,0.035
Other,0.9319551643396062,-0.02320646235486723,0.035
White Women,0.9551616266944735,0.0,0.035
Asian Women,0.9157617637380717,-0.025322699244201496,0.04
Black Women,0.9796429689946758,0.03855850601240263,0.04
Latina Women,0.9932480454868514,0.0521635825045782,0.04
Other,0.9201717110398058,-0.020912751942467445,0.04
White Women,0.9410844629822732,0.0,0.04
Asian Women,0.9072063178677197,-0.013196879907740877,0.045
Black Women,0.9711869715001565,0.050783773724696,0.045
Latina Women,0.9889836531627576,0.06858045538729707,0.045
Other,0.901136067990634,-0.019267129784826587,0.045
White Women,0.9204031977754605,0.0,0.045
Asian Women,0.8983218163869694,-0.004354582639794602,0.05
Black Women,0.9633573441904165,0.06068094516365252,0.05
Latina Women,0.988272921108742,0.08559652208197799,0.05
Other,0.887260428410372,-0.015415970616391994,0.05
White Women,0.902676399026764,0.0,0.05
Asian Women,0.8887792036854228,0.009738536323587565,0.055
Black Women,0.951143125587222,0.07210245822538675,0.055
Latina Women,0.9829424307036247,0.10390176334178947,0.055
Other,0.8656773046570115,-0.013363362704823745,0.055
White Women,0.8790406673618353,0.0,0.055
Asian Women,0.8789075353734781,0.019505380350885115,0.06
Black Women,0.9414343877231444,0.08203223270055138,0.06
Latina Women,0.9772565742714996,0.1178544192489066,0.06
Other,0.8506634290174313,-0.008738726005161679,0.06
White Women,0.859402155022593,0.0,0.06
Asian Women,0.8647581441263573,0.035943406552495616,0.065
Black Women,0.9289069840275603,0.10009224645369863,0.065
Latina Women,0.9740582800284293,0.1452435424545676,0.065
Other,0.8282889601942589,-0.0005257773796027987,0.065
White Women,0.8288147375738617,0.0,0.065
Asian Women,0.8558736426456071,0.044090535242061746,0.07
Black Women,0.918885061071093,0.10710195366754771,0.07
Latina Women,0.9680170575692963,0.15623395016575103,0.07
Other,0.8127981094441072,0.0010150020405619298,0.07
White Women,0.8117831074035453,0.0,0.07
Asian Women,0.843040473840079,0.0639302896204057,0.075
Black Women,0.8985280300657689,0.1194178458460956,0.075
Latina Women,0.9601990049751243,0.18108882075545107,0.075
Other,0.7900442286011621,0.010934044381488817,0.075
White Women,0.7791101842196733,0.0,0.075
Asian Women,0.8358012504113195,0.07598199424169838,0.08
Black Women,0.886626996554964,0.12680774038534293,0.08
Latina Women,0.9530916844349681,0.19327242826534696,0.08
Other,0.7751495967392247,0.015330340569603584,0.08
White Women,0.7598192561696211,0.0,0.08
Asian Women,0.8232971372161896,0.09649838851963066,0.085
Black Women,0.868462261196367,0.14166351249980813,0.085
Latina Women,0.9381663113006397,0.21136756260408074,0.085
Other,0.753132859248981,0.026334110552422074,0.085
White Women,0.7267987486965589,0.0,0.085
Asian Women,0.8173741362290227,0.1133421584744172,0.09
Black Women,0.8553084873160037,0.15127650956139826,0.09
Latina Women,0.9285714285714286,0.22453945081682314,0.09
Other,0.7386176394068165,0.034585661652211,0.09
White Women,0.7040319777546055,0.0,0.09
Asian Women,0.8025666337611056,0.12495106198494987,0.095
Black Women,0.8368305668650172,0.1592149950888615,0.095
