threshold,accuracy,precision,recall,f1
0.0,0.284,0.284,1.0,0.442
0.005,0.292,0.286,1.0,0.445
0.01,0.297,0.288,1.0,0.447
0.015,0.306,0.29,1.0,0.45
0.02,0.313,0.292,1.0,0.452
0.025,0.324,0.295,1.0,0.456
0.03,0.333,0.298,1.0,0.459
0.035,0.347,0.303,1.0,0.465
0.04,0.359,0.307,1.0,0.469
0.045,0.377,0.313,1.0,0.476
0.05,0.39,0.317,1.0,0.482
0.055,0.411,0.325,1.0,0.49
0.06,0.426,0.331,1.0,0.497
0.065,0.447,0.339,1.0,0.506
0.07,0.462,0.345,1.0,0.513
0.075,0.485,0.355,1.0,0.524
0.08,0.499,0.362,1.0,0.531
0.085,0.522,0.372,1.0,0.542
0.09,0.536,0.379,1.0,0.55
0.095,0.557,0.39,1.0,0.561
0.1,0.57,0.397,1.0,0.569
0.105,0.59,0.409,1.0,0.58
0.11,0.602,0.416,1.0,0.588
0.115,0.62,0.427,1.0,0.599
0.12,0.631,0.435,1.0,0.606
0.125,0.648,0.446,1.0,0.617
0.13,0.658,0.453,0.999,0.624
0.135,0.673,0.464,0.999,0.634
0.14,0.682,0.471,0.999,0.64
0.145,0.695,0.481,0.999,0.65
0.15,0.703,0.488,0.999,0.656
0.155,0.714,0.498,0.999,0.665
0.16,0.722,0.505,0.999,0.67
0.165,0.732,0.514,0.998,0.678
0.17,0.738,0.52,0.998,0.684
0.175,0.747,0.529,0.998,0.691
0.18,0.753,0.535,0.998,0.696
0.185,0.761,0.543,0.997,0.703
0.19,0.767,0.549,0.997,0.708
0.195,0.774,0.556,0.997,0.714
0.2,0.778,0.562,0.996,0.718
0.205,0.786,0.57,0.996,0.725
0.21,0.79,0.575,0.995,0.729
0.215,0.796,0.582,0.994,0.734
0.22,0.8,0.587,0.994,0.738
0.225,0.806,0.594,0.993,0.744
0.23,0.81,0.599,0.992,0.747
0.235,0.815,0.606,0.991,0.752
0.24,0.818,0.611,0.99,0.755
0.245,0.823,0.617,0.988,0.76
0.25,0.826,0.622,0.988,0.763
0.255,0.831,0.628,0.986,0.768
0.26,0.834,0.633,0.985,0.771
0.265,0.838,0.64,0.983,0.775
0.27,0.841,0.644,0.981,0.777
0.275,0.845,0.65,0.978,0.781
0.28,0.847,0.655,0.977,0.784
0.285,0.851,0.661,0.974,0.788
0.29,0.853,0.665,0.972,0.79
0.295,0.857,0.672,0.969,0.794
0.3,0.859,0.676,0.967,0.796
0.305,0.862,0.682,0.964,0.799
0.31,0.864,0.686,0.961,0.801
0.315,0.867,0.692,0.957,0.804
0.32,0.869,0.697,0.955,0.806
0.325,0.872,0.703,0.951,0.808
0.33,0.874,0.707,0.948,0.81
0.335,0.876,0.713,0.943,0.812
0.34,0.878,0.717,0.939,0.813
0.345,0.88,0.724,0.934,0.816
0.35,0.882,0.73,0.929,0.817
0.355,0.884,0.735,0.924,0.819
0.36,0.885,0.739,0.921,0.82
0.365,0.887,0.745,0.914,0.821
0.37,0.888,0.749,0.91,0.822
0.375,0.889,0.754,0.904,0.822
0.38,0.89,0.758,0.899,0.823
0.385,0.892,0.765,0.892,0.824
0.39,0.893,0.77,0.887,0.824
0.395,0.894,0.776,0.879,0.824
0.4,0.894,0.78,0.873,0.824
0.405,0.894,0.786,0.863,0.822
0.41,0.895,0.791,0.854,0.821
0.415,0.895,0.795,0.847,0.82
0.42,0.895,0.799,0.841,0.82
0.425,0.895,0.806,0.831,0.818
0.43,0.895,0.81,0.824,0.817
0.435,0.895,0.816,0.812,0.814
0.44,0.894,0.819,0.805,0.812
0.445,0.894,0.825,0.794,0.809
0.45,0.893,0.828,0.785,0.806
0.455,0.891,0.832,0.773,0.801
0.46,0.891,0.836,0.765,0.799
0.465,0.889,0.841,0.752,0.794
0.47,0.888,0.845,0.74,0.789
0.475,0.887,0.848,0.732,0.785
0.48,0.885,0.85,0.722,0.781
0.485,0.883,0.854,0.709,0.774
0.49,0.881,0.856,0.7,0.77
0.495,0.879,0.86,0.687,0.764
0.5,0.878,0.862,0.677,0.758
0.505,0.875,0.866,0.663,0.751
0.51,0.873,0.868,0.652,0.745
0.515,0.871,0.871,0.639,0.737
0.52,0.869,0.873,0.63,0.732
0.525,0.866,0.876,0.614,0.722
0.53,0.864,0.878,0.604,0.715
0.535,0.86,0.88,0.588,0.705
0.54,0.858,0.882,0.577,0.698
0.545,0.855,0.885,0.561,0.686
0.55,0.853,0.887,0.551,0.68
0.555,0.85,0.89,0.536,0.669
0.56,0.847,0.892,0.525,0.661
0.565,0.844,0.895,0.508,0.648
0.57,0.84,0.897,0.493,0.636
0.575,0.838,0.898,0.483,0.628
0.58,0.836,0.9,0.473,0.62
0.585,0.832,0.903,0.457,0.607
0.59,0.83,0.904,0.447,0.598
0.595,0.826,0.906,0.433,0.586
0.6,0.824,0.907,0.423,0.577
0.605,0.82,0.909,0.408,0.563
0.61,0.818,0.91,0.398,0.553
0.615,0.815,0.913,0.383,0.54
0.62,0.812,0.915,0.373,0.53
0.625,0.809,0.918,0.358,0.515
0.63,0.807,0.92,0.348,0.505
0.635,0.803,0.922,0.333,0.489
0.64,0.801,0.924,0.324,0.479
0.645,0.798,0.926,0.311,0.466
0.65,0.796,0.928,0.303,0.457
0.655,0.792,0.929,0.29,0.442
0.66,0.79,0.93,0.281,0.432
0.665,0.787,0.933,0.268,0.417
0.67,0.785,0.936,0.26,0.407
0.675,0.782,0.938,0.247,0.391
0.68,0.78,0.941,0.24,0.383
0.685,0.777,0.943,0.228,0.367
0.69,0.774,0.945,0.216,0.352
0.695,0.772,0.946,0.209,0.342
0.7,0.77,0.949,0.198,0.328
0.705,0.768,0.95,0.191,0.319
0.71,0.766,0.951,0.185,0.31
0.715,0.763,0.952,0.174,0.294
0.72,0.761,0.953,0.167,0.284
0.725,0.759,0.956,0.157,0.27
0.73,0.757,0.957,0.151,0.26
0.735,0.755,0.958,0.142,0.248
0.74,0.753,0.959,0.136,0.238
0.745,0.751,0.961,0.127,0.225
0.75,0.75,0.962,0.123,0.218
0.755,0.748,0.965,0.116,0.207
0.76,0.747,0.966,0.111,0.199
0.765,0.745,0.967,0.104,0.188
0.77,0.744,0.967,0.1,0.181
0.775,0.742,0.966,0.093,0.17
0.78,0.741,0.967,0.09,0.165
0.785,0.739,0.968,0.084,0.155
0.79,0.739,0.968,0.081,0.149
0.795,0.737,0.97,0.076,0.14
0.8,0.736,0.969,0.072,0.134
0.805,0.735,0.968,0.068,0.127
0.81,0.734,0.967,0.065,0.121
0.815,0.733,0.967,0.06,0.114
0.82,0.732,0.968,0.057,0.107
0.825,0.731,0.969,0.054,0.103
0.83,0.73,0.969,0.05,0.096
0.835,0.73,0.967,0.048,0.091
0.84,0.729,0.969,0.046,0.087
0.845,0.728,0.969,0.043,0.082
0.85,0.728,0.969,0.041,0.079
0.855,0.727,0.969,0.039,0.075
0.86,0.727,0.969,0.037,0.072
0.865,0.726,0.971,0.034,0.066
0.87,0.725,0.972,0.033,0.063
0.875,0.725,0.969,0.03,0.058
0.88,0.724,0.968,0.029,0.056
0.885,0.724,0.967,0.027,0.052
