video_id,title,Group,y_true,y_pred,prob,margin_abs
39776591,"Period Tampon Removal, Period Pee, Period Menstrual Fetish, Period Pussy",Other,1,0,0.072,0.428
191350961,Horny amateur MILF fingers her pussy and plays with herself,Other,0,1,0.92,0.42
103094841,Pero si me va a ayudar profe?,Other,0,1,0.918,0.418
40671351,I SUCK A BIG DICK IN A GLORYHOLE UNTIL IT FILLS MY MOUTH WITH MILK.,Other,0,1,0.9,0.4
39490361,Amateur asian teen Humping bunny plushie fuck until orgasm webcam girl uncensored,Asian Women,0,1,0.892,0.392
40768451,Pareja Amateur sexo real - VillaAnderson,Other,0,1,0.89,0.39
102148791,Вместо просмотра фильма я предпочла кончить дважды за раз - lesbian_illusion,Other,0,1,0.888,0.388
18840921,Interracial amateur lesbian teens playing together,Other,0,1,0.884,0.384
39641221,Internal creampie amateur interracial,Other,0,1,0.882,0.382
6481341,"Ora Young - Intense Fingering  ""CumShow""",Other,0,1,0.882,0.382
