feature,type,importance,share,cum_share
SVD #200,Text (SVD),13.825926514616778,0.02374099128053014,0.8277486459818967
SVD #130,Text (SVD),13.269480433018085,0.022785497877802048,0.4931906933502767
SVD #011,Text (SVD),12.602676787526736,0.021640505568122137,0.08358460881395594
SVD #012,Text (SVD),11.167447984979697,0.019176023028683483,0.10276063184263942
SVD #192,Text (SVD),10.071744463079142,0.017294551451933367,0.748571636078666
SVD #003,Text (SVD),9.620498558807382,0.016519701023836198,0.022952540482457023
SVD #194,Text (SVD),8.64716080456229,0.014848348068783697,0.7693944717469875
SVD #009,Text (SVD),8.427071211538275,0.01447042438291754,0.06048122052047054
SVD #048,Text (SVD),7.468452337383398,0.012824345741561955,0.22059233292884672
SVD #131,Text (SVD),7.383994897430856,0.012679320860707178,0.5058700142109839
SVD #135,Text (SVD),6.8860340274860095,0.011824254499772344,0.5245261798164846
SVD #120,Text (SVD),6.3831360454406525,0.010960710447653104,0.4375612029837672
SVD #195,Text (SVD),6.348866120534728,0.010901864337953631,0.7802963360849411
SVD #199,Text (SVD),6.143757600750322,0.0105496651869878,0.8040076547013666
SVD #008,Text (SVD),6.06064125221294,0.010406943142008797,0.046010796137552996
SVD #163,Text (SVD),5.259573974706347,0.009031401963607766,0.6346173762921782
SVD #094,Text (SVD),5.246386287730245,0.009008756916190581,0.3605042937367993
SVD #180,Text (SVD),5.208559308071021,0.00894380286097345,0.6816280326465288
SVD #188,Text (SVD),5.186410356826074,0.0089057701072319,0.7192357808794393
SVD #019,Text (SVD),5.015103519010252,0.008611613029326056,0.13347913964878766
SVD #208,Text (SVD),5.006287894145112,0.0085964754056135,0.8700570754535909
SVD #116,Text (SVD),4.993701969070885,0.008574863665009444,0.4183933432926026
SVD #236,Text (SVD),4.969421105907016,0.00853317012931419,0.9587689051730853
SVD #206,Text (SVD),4.950447118521971,0.00850058921919659,0.855735280425628
SVD #136,Text (SVD),4.8105657339554835,0.008260393907309855,0.5327865737237945
SVD #209,Text (SVD),4.659220608609602,0.008000513797474995,0.8780575892510659
SVD #110,Text (SVD),4.615206608098063,0.007924935788199378,0.4037567449434058
SVD #184,Text (SVD),4.522652688681628,0.007766008153836396,0.7019987687509626
SVD #210,Text (SVD),4.493687665245442,0.007716271279558073,0.885773860530624
SVD #198,Text (SVD),4.472411505578717,0.007679737227348488,0.7934579895143788
SVD #071,Text (SVD),4.370612998150243,0.0075049353813618665,0.29115067527041333
SVD #090,Text (SVD),4.368538730834048,0.0075013735830104,0.34417346634352364
SVD #212,Text (SVD),4.319663463393284,0.0074174481189976955,0.8972132860194232
SVD #031,Text (SVD),4.298414981624053,0.007380961593492552,0.17026337361516042
SVD #077,Text (SVD),4.291418419780409,0.007368947547739593,0.3097105357561889
SVD #143,Text (SVD),4.253715171083644,0.007304205955368822,0.5577814554201979
SVD #183,Text (SVD),4.1564442585795955,0.007137178604025213,0.6942327605971261
SVD #074,Text (SVD),4.054226360911917,0.006961656608108562,0.30172915324865224
SVD #240,Text (SVD),4.047320016071899,0.0069497974771885575,0.9741210150968951
SVD #078,Text (SVD),4.035518551020361,0.006929532760853644,0.3166400685170425
SVD #146,Text (SVD),3.9673905059320087,0.006812547666025303,0.5712639436284842
SVD #159,Text (SVD),3.795341673263158,0.0065171164823069234,0.6161172185910777
SVD #029,Text (SVD),3.7648014211171934,0.00646467472665778,0.16022118748748793
SVD #169,Text (SVD),3.7577568737677973,0.0064525782832823226,0.6462528521749962
SVD #067,Text (SVD),3.736052314730414,0.006415308611241935,0.2768691380981422
SVD #126,Text (SVD),3.7239575241845353,0.006394540215244316,0.458221058134825
SVD #150,Text (SVD),3.714727564376151,0.006378691122230634,0.5835511040098161
SVD #128,Text (SVD),3.659675941461383,0.00628416001806074,0.4660949571031723
SVD #118,Text (SVD),3.6265173604221443,0.0062272222365315905,0.42502879717786096
SVD #034,Text (SVD),3.61862003963249,0.0062136614654824665,0.18154031496531364
SVD #139,Text (SVD),3.5909407878133264,0.006166132435482514,0.542618712046793
SVD #098,Text (SVD),3.535327396379636,0.00607063669856303,0.37207953500495106
SVD #157,Text (SVD),3.51123524080065,0.006029267199388766,0.6090522441976856
SVD #140,Text (SVD),3.4980142393669835,0.006006564946528915,0.548625276993322
SVD #102,Text (SVD),3.4891964274908105,0.005991423567421752,0.3844075927580864
SVD #193,Text (SVD),3.4793335096096847,0.005974487599537876,0.7545461236782038
SVD #190,Text (SVD),3.473126783748273,0.005963829809305834,0.7306483727632076
SVD #214,Text (SVD),3.470955290290295,0.005960101060480423,0.9061698270698749
SVD #156,Text (SVD),3.448231092026898,0.005921080529577269,0.6030229769982968
SVD #207,Text (SVD),3.3342267572548248,0.005725319622349457,0.8614606000479774
SVD #203,Text (SVD),3.301158794658165,0.005668537444978398,0.8394826972192571
SVD #215,Text (SVD),3.217515825465175,0.005524911120898846,0.9116947381907737
SVD #189,Text (SVD),3.1731692727982024,0.00544876207446242,0.7246845429539017
SVD #050,Text (SVD),3.1223912200564903,0.005361569269979566,0.23122435710232375
SVD #049,Text (SVD),3.0693293861792936,0.00527045490349746,0.22586278783234418
SVD #172,Text (SVD),3.0586628600419172,0.005252139031230001,0.6556563756320328
SVD #202,Text (SVD),3.049547891021965,0.005236487392998291,0.8338141597742786
SVD #015,Text (SVD),3.041675137906906,0.005222968807978995,0.11674046936213707
SVD #243,Text (SVD),3.0038992865189726,0.0051581025469391,0.9852633793607093
SVD #014,Text (SVD),2.9824489793021454,0.005121269459763278,0.11151750055415807
SVD #144,Text (SVD),2.948066551428291,0.005062230167207103,0.5628436855874049
SVD #153,Text (SVD),2.9460368004015507,0.005058744809363161,0.5922777039475077
SVD #134,Text (SVD),2.9322998417695363,0.0050351565880053465,0.5127019253167123
SVD #109,Text (SVD),2.914457840809965,0.005004519452131626,0.39583180915520644
SVD #239,Text (SVD),2.8628165127987426,0.00491584428690973,0.9671712176197065
SVD #002,Text (SVD),2.854398234770085,0.004901388961614594,0.006432839458620825
SVD #027,Text (SVD),2.832414260956353,0.0048636394965012476,0.15345746366703494
SVD #182,Text (SVD),2.6737607799391014,0.0045912099486171126,0.687095581993101
SVD #066,Text (SVD),2.6716817740785883,0.004587640013542279,0.2704538294869002
SVD #033,Text (SVD),2.6229490876550874,0.004503959380477001,0.17532665349983118
SVD #242,Text (SVD),2.597917056468054,0.004460975987391768,0.9801052768137702
SVD #204,Text (SVD),2.5388606321533893,0.00435956809597621,0.8438422653152333
SVD #218,Text (SVD),2.537394161409405,0.004357049966785426,0.9195129293168341
SVD #093,Text (SVD),2.51688296835262,0.004321829466011059,0.35149553682060874
SVD #129,Text (SVD),2.5101327173026884,0.004310238369302394,0.47040519547247467
SVD #086,Text (SVD),2.4872985337552502,0.004271028978747292,0.33091495080296174
SVD #175,Text (SVD),2.4691127845233454,0.004239801580461317,0.6653171039122376
SVD #016,Text (SVD),2.4213279827586276,0.004157748593933529,0.1208982179560706
SVD #054,Text (SVD),2.382306831752801,0.0040907439845277015,0.24266252913430625
SVD #005,Text (SVD),2.355194098911429,0.004044187744459605,0.030394360194280715
SVD #058,Text (SVD),2.343144263514323,0.00402349654255049,0.25447170278457487
SVD #211,Text (SVD),2.3422595502122183,0.004021977369801465,0.8897958379004255
SVD #174,Text (SVD),2.331691186097787,0.004003830055042854,0.6610773023317763
SVD #230,Text (SVD),2.324811415793639,0.003992016556205713,0.9406087076585355
SVD #087,Text (SVD),2.3088280667860155,0.003964570977855322,0.33487952178081704
SVD #070,Text (SVD),2.291844015019335,0.003935407057124617,0.28364573988905145
SVD #047,Text (SVD),2.269707245030138,0.0038973952202515493,0.20776798718728476
SVD #160,Text (SVD),2.2638593561403044,0.0038873536017751116,0.6200045721928528
SVD #154,Text (SVD),2.241350873275858,0.00384870348347325,0.5961264074309809
SVD #046,Text (SVD),2.23579777593165,0.003839168062068442,0.20387059196703322
SVD #125,Text (SVD),2.233401472744903,0.003835053284443816,0.4518265179195807
SVD #233,Text (SVD),2.2189613843727805,0.003810257693944314,0.9464359087882286
SVD #149,Text (SVD),2.190465419576602,0.0037613262569776017,0.5771724128875855
SVD #060,Text (SVD),2.1739596235307563,0.003732983566193852,0.25942524141107093
SVD #013,Text (SVD),2.1172463903218746,0.0036355992517553737,0.10639623109439479
SVD #161,Text (SVD),2.1038269774455043,0.003612556299534347,0.6236171284923872
SVD #229,Text (SVD),2.074423636568865,0.0035620667747540183,0.9366166911023298
SVD #025,Text (SVD),2.066043543893445,0.0035476770188901455,0.14726756407280664
SVD #038,Text (SVD),2.0479889506366016,0.0035166748332043554,0.1890050394968825
SVD #121,Text (SVD),2.0373451904957736,0.0034983980532411244,0.44105960103700836
SVD #084,Text (SVD),1.9959436280341127,0.003427305954468324,0.3256844704934325
SVD #187,Text (SVD),1.983935788389399,0.003406686864962694,0.7103300107722074
SVD #004,Text (SVD),1.978662531375132,0.0033976319673640876,0.02635017244982111
SVD #205,Text (SVD),1.9756306939235633,0.0033924258911980105,0.8472346912064314
SVD #123,Text (SVD),1.9704150664716926,0.0033834699513753557,0.4452200163877592
SVD #196,Text (SVD),1.9089408989758325,0.0032779104669564186,0.7835742465518976
SVD #101,Text (SVD),1.9008696615253926,0.003264051057409333,0.3784161691906646
SVD #137,Text (SVD),1.819324639532988,0.003124027193254868,0.5359106009170493
SVD #235,Text (SVD),1.7909269344479404,0.0030752644815408695,0.9502357350437711
SVD #021,Text (SVD),1.7745811008452872,0.0030471964679706165,0.1392908915189941
SVD #056,Text (SVD),1.7731721616743144,0.0030447771282947184,0.24771384500829632
SVD #216,Text (SVD),1.7478837401393932,0.003001353478203405,0.9146960916689771
SVD #213,Text (SVD),1.7450222957108998,0.0029964399899713675,0.9002097260093945
SVD #073,Text (SVD),1.6915023875286286,0.0029045390477707286,0.2947674966405437
SVD #186,Text (SVD),1.6707554355982028,0.002868913717030175,0.7069233239072447
SVD #052,Text (SVD),1.6422639533831875,0.0028199899772633715,0.2366528632510008
SVD #124,Text (SVD),1.6139949404189708,0.0027714482473776285,0.44799146463513684
SVD #020,Text (SVD),1.6099807874595993,0.0027645554022358285,0.1362436950510235
SVD #057,Text (SVD),1.5923967552671197,0.0027343612337280706,0.2504482062420244
SVD #068,Text (SVD),1.5713970966402977,0.002698301971310726,0.2795674400694529
SVD #104,Text (SVD),1.5586187527381896,0.0026763598214780302,0.387427512764383
SVD #170,Text (SVD),1.5578280092630337,0.0026750020076686653,0.6489278541826649
SVD #030,Text (SVD),1.5498044885194735,0.002661224534179953,0.16288241202166787
SVD #238,Text (SVD),1.5381498827344637,0.0026412119951267896,0.9622553733327968
SVD #225,Text (SVD),1.5334307193700516,0.0026331085514865057,0.9291342197060087
SVD #179,Text (SVD),1.5324241702195163,0.002631380170058974,0.6726842297855554
SVD #007,Text (SVD),1.524179752676269,0.002617223386801059,0.0356038529955442
SVD #051,Text (SVD),1.5191089736733867,0.0026085161714136744,0.23383287327373742
SVD #006,Text (SVD),1.5096474282368648,0.0025922694144624257,0.03298662960874314
SVD #064,Text (SVD),1.508675774974786,0.0025906009540089202,0.2651265574774498
SVD #017,Text (SVD),1.4780912577878094,0.002538083189279909,0.12343630114535051
SVD #152,Text (SVD),1.4687018779195549,0.002521960350398468,0.5872189591381445
SVD #043,Text (SVD),1.4366884972881993,0.002466989033313439,0.19770196035203835
SVD #224,Text (SVD),1.4213563340219761,0.0024406616292128713,0.9265011111545223
SVD #178,Text (SVD),1.346469845515249,0.0023120713702679714,0.6700528496154965
SVD #251,Text (SVD),1.3447349478604507,0.002309092315659831,0.9934227648487153
SVD #097,Text (SVD),1.3257758107508515,0.0022765369054795793,0.36600889830638805
SVD #252,Text (SVD),1.298775537826178,0.0022301737743433817,0.9956529386230587
SVD #113,Text (SVD),1.2925669243565987,0.002219512742832066,0.40864370769748937
SVD #197,Text (SVD),1.2835361831218284,0.0022040057351328177,0.7857782522870304
SVD #082,Text (SVD),1.2675674225363778,0.0021765852070821834,0.3202711461300569
SVD #185,Text (SVD),1.1971339841570245,0.002055641439251928,0.7040544101902145
SVD #055,Text (SVD),1.1685382854871336,0.002006538745695382,0.24466906788000162
SVD #083,Text (SVD),1.156587955985944,0.001986018408907301,0.3222571645389642
SVD #162,Text (SVD),1.1465872476859371,0.0019688458361832536,0.6255859743285704
SVD #255,Text (SVD),1.1345344677456437,0.0019481495780940656,0.998018837090182
SVD #147,Text (SVD),1.1296103026976545,0.001939694118755076,0.5732036377472393
SVD #040,Text (SVD),1.1292963944770504,0.0019391550957593752,0.19227855275215738
SVD #100,Text (SVD),1.1234932040990884,0.0019291902306910703,0.3751521181332553
SVD #053,Text (SVD),1.1175132851991851,0.0019189218987777775,0.23857178514977856
SVD #112,Text (SVD),1.1062151563790334,0.001899521479028551,0.4064241949546573
SVD #091,Text (SVD),1.0936406906587537,0.0018779294156896578,0.3460513957592133
SVD #107,Text (SVD),1.0545379276815077,0.0018107846674584275,0.39061504231592475
SVD #256,Text (SVD),1.046626985383002,0.0017972005064308793,0.9998160375966129
SVD #037,Text (SVD),1.0464645106335404,0.0017969215152467302,0.18548836466367813
SVD #022,Text (SVD),1.0310070238568034,0.001770378913678766,0.14106127043267286
SVD #023,Text (SVD),1.0201526362272737,0.001751740457746303,0.14281301089041917
SVD #141,Text (SVD),1.0172252961363868,0.0017467138177233417,0.5503719908110453
SVD #168,Text (SVD),1.0131917418341123,0.0017397876578440306,0.6398002738917139
SVD #063,Text (SVD),0.9798121535398826,0.0016824703768789394,0.26253595652344086
SVD #095,Text (SVD),0.9795277532805509,0.00168198202305543,0.36218627575985474
SVD #132,Text (SVD),0.964696834216432,0.0016565153232424915,0.5075265295342264
SVD #044,Text (SVD),0.9611426761003027,0.0016504123516437746,0.19935237270368214
SVD #145,Text (SVD),0.9362745320795147,0.0016077103750538997,0.5644513959624589
SVD #088,Text (SVD),0.9355409835414371,0.001606450772709859,0.3364859725535269
SVD #127,Text (SVD),0.9258086001704207,0.001589738950286544,0.4598107970851115
SVD #119,Text (SVD),0.9153006405588882,0.0015716953582531408,0.4266004925361141
SVD #222,Text (SVD),0.905066921442591,0.0015541226743501454,0.9232216503104377
SVD #096,Text (SVD),0.9003864331496523,0.0015460856410537652,0.3637323614009085
SVD #249,Text (SVD),0.8980059949232153,0.0015419981057180367,0.9909125735139764
SVD #001,Text (SVD),0.8918634349419919,0.001531450497006231,0.001531450497006231
SVD #241,Text (SVD),0.8871085586840536,0.001523285729483391,0.9756443008263784
SVD #042,Text (SVD),0.8646662968559059,0.0014847493216835846,0.19523497131872491
