video_id,title_x,Group,y_true,y_pred,prob,margin,gender_female,race_ethnicity_asian,race_ethnicity_white,categories,tags,title_y,race_ethnicity_latina,race_ethnicity_black,margin_abs
102394361,ebony succubus thick texas chocolate n girlfriend snow so icy loves sharing bbc suga slim,Black Women,1,0,0.982,0.482,1,0,0,"Amateur,Ebony","AMATEUR,Amateur,BBC,BIG ASS,BIg Cock,BLACK,Big Ass,Big Dick,Butt,Ebony,HD,TheHabibShow,Tight Pussy,VAGINAL SEX,back",ebony succubus thick texas chocolate n girlfriend snow so icy loves sharing bbc suga slim,0,1,0.482
103710101,BLACK4K. Blonde hooks up with black stranger and helps him lose virginity,Black Women,0,1,0.066,-0.434,1,0,1,"Blonde,Interracial","BBC,BLACK ON WHITE,Big Dick,Blonde,Doggy,HD,INTERRACIAL,Interracial,Missionary,POrnStar,Shaved Pussy,black lover,black on blonde,black4k,blonde sex,czech girl,hot blonde,interracial fuck",BLACK4K. Blonde hooks up with black stranger and helps him lose virginity,0,1,0.434
189449621,Black Patient Plows Fat Nurse Lady Lynn,Black Women,0,1,0.08,-0.42,1,0,0,"Big Tits,Blowjob,Cumshot,Interracial,Mature","BBC,BBW,BIG ASS,BIG TITS,BIg Cock,Big Ass,Big Natural Tits,Big Tits,Blowjob,Chubby,Cumshot,FAT,HD,INTERRACIAL,Interracial,MAture,Mature,Old,VAGINAL SEX,jeffsmodels,lady lynn,plumper",Black Patient Plows Fat Nurse Lady Lynn,0,1,0.42
43439831,Asian Coed Sasha Creams All Over Her Tutor,Black Women,0,1,0.088,-0.412,1,1,0,"Asian,Big Tits,Blowjob,Brunette,Cumshot,Interracial","Asian,BIG TITS,BIg Boobs,BIg Cock,BLOWJOB,Big Black COck,Big Dick,Big Tits,Blowjob,Brunette,Cumshot,DoggyStyle,Facial,Female Orgasm,HD,INTERRACIAL,Interracial,InterracialPass,Reverse Cowgirl,Side Fuck,college coed,creamy pussy,pretty asian,standing fuck",Asian Coed Sasha Creams All Over Her Tutor,0,1,0.412
189387831,"You can't help but spank her round ass as she bounces on top of you. After that, you proceed to pound her shaved pussy in dog",Black Women,0,1,0.088,-0.412,1,0,1,Interracial,"BBC,BIg Cock,BLACKED,Big Ass,Big Black COck,Big Dick,Blacked Raw,Brunette,Bubble Butt,HD,Huge Cock,INTERRACIAL,Interracial,Isiah Maxwell,PAWG,POV,Point of View,bbc slut,shelovesblack,white girl","You can't help but spank her round ass as she bounces on top of you. After that, you proceed to pound her shaved pussy in dog",0,1,0.412
43559131,Brazzers - Avery Jane & Her Stepmom Rita Daniels Decide To Have Some Pre-Wedding Bang With Kyle,Black Women,0,1,0.088,-0.412,1,0,0,"Big Tits,Blowjob,Ebony","3SOME,BRAZZERS,BUSTY,Big Ass,Big Dick,Big Tits,Blowjob,Cum In Mouth,DoggyStyle,Double Blowjob,EBONY,Ebony,Facial,Fake Tits,HD,MILF,Missionary,Reverse Cowgirl,Strap On,Threesome,Toys,Trimmed Pussy,Vibrator,bride,round booty",Brazzers - Avery Jane & Her Stepmom Rita Daniels Decide To Have Some Pre-Wedding Bang With Kyle,0,1,0.412
39496811,Hittin lady boss with that 3point stance diggin deep in her guts,Black Women,0,1,0.094,-0.406,1,0,0,"Ebony,Fetish","Big Ass,Big Dick,Boss,Ebony,Fetish,HD,Rough,Verified Amateurs,bossstoners,stoners",Hittin lady boss with that 3point stance diggin deep in her guts,0,1,0.406
35042021,Naughty Yanks Asian Hermine Toying Her Muff,Black Women,1,0,0.904,0.404,1,1,0,"Amateur,Asian,Masturbation","Amateur,Asian,HD,Homemade,Masturbation,Natural Tits,Solo Girl,Toys,Vaginal Masturbation,amateur,asian,black haired",Naughty Yanks Asian Hermine Toying Her Muff,0,1,0.404
564597,Husband approves of sharing his wife,Black Women,0,1,0.106,-0.394,1,0,0,"Blowjob,Ebony","Blowjob,Brunette,Couple,Cum Shot,Ebony,Licking Vagina,MILF,Oral Sex,Shaved,Vaginal Sex",Husband approves of sharing his wife,0,1,0.394
190198471,4K- Nina Rivera is a dick sucking whore and she me cum in her mouth twice,Black Women,1,0,0.132,-0.368,1,0,0,"Amateur,Big Tits,Blonde,Blowjob,Cumshot,Ebony","Amateur,BBC,Big Dick,Big Tits,Black,Blonde,Blowjob,Cumshot,Ebony,HD,big boobs,blowjob swallow,cum in mouth,don whoe,facial,licking cock,nina rivera,on knees blowjob,oral,sexy nina rivera,sucking dick,sukmydick",4K- Nina Rivera is a dick sucking whore and she me cum in her mouth twice,0,1,0.368
193979121,ZULU GIRL PLAYING WITH HER PUSSY,Black Women,0,1,0.14,-0.36,1,0,0,"Creampie,Masturbation,Squirting","Creampie,Ebony,HD,Masturbation,Squirting,Verified Amateurs,solo squirt",ZULU GIRL PLAYING WITH HER PUSSY,0,1,0.36
190501331,Hot Ass Spinner Stepsis Daphne Dare Lets Stepbro DO wHATEVER he Wants with Her - S10:E7,Black Women,0,1,0.148,-0.352,1,0,0,Creampie,"Big Ass,Black Hair,Cream Pie,Creampie,Cum Shot,Cumshot,Female Orgasm,Glasses,HD,Licking Vagina,POV,Petite,Shaved Pussy,Small Tits,StepSiblingsCaught,Stepbrother,Stepsister,Thong,fair skin",Hot Ass Spinner Stepsis Daphne Dare Lets Stepbro DO wHATEVER he Wants with Her - S10:E7,0,1,0.352
194488551,BBW TAKES BIG BLACK DILDO IN HER ASS,Black Women,0,1,0.148,-0.352,1,0,0,Big Tits,"Anal,BBW,Big Ass,Big Tits,HD,Verified Amateurs,anal,anal training,bbc anal,big ass anal,fat ass,tattoo girl",BBW TAKES BIG BLACK DILDO IN HER ASS,0,1,0.352
