_publish_year,race_ethnicity_asian,count,share
2007,0,231,1.0
2008,0,559,0.984
2008,1,9,0.016
2009,0,1057,0.982
2009,1,19,0.018
2010,0,901,0.956
2010,1,41,0.044
2011,0,1393,0.945
2011,1,81,0.055
2012,0,2849,0.882
2012,1,382,0.118
2013,0,5382,0.846
2013,1,982,0.154
2014,0,9344,0.9
2014,1,1040,0.1
2015,0,10886,0.836
2015,1,2136,0.164
2016,0,13029,0.853
2016,1,2244,0.147
2017,0,17189,0.894
2017,1,2040,0.106
2018,0,24301,0.913
2018,1,2328,0.087
2019,0,24712,0.883
2019,1,3284,0.117
2020,0,7856,0.77
2020,1,2346,0.23
2021,0,73423,0.947
2021,1,4120,0.053
2022,0,89906,0.928
2022,1,6968,0.072
2023,0,55308,0.923
2023,1,4631,0.077
2024,0,56355,0.839
2024,1,10847,0.161
2025,0,87831,0.905
2025,1,9226,0.095
