_publish_year,race_ethnicity_asian,mean_rating,mean_views,mean_views_per_day,mean_ratings_per_day,n
2007,0,82.8,129228.0,18.916,0.223,231
2008,0,82.8,185155.0,28.267,0.373,559
2008,1,83.1,385284.0,59.055,0.408,9
2009,0,82.1,169041.0,27.419,0.273,1057
2009,1,81.2,130940.0,21.61,0.235,19
2010,0,80.6,186004.0,32.018,0.199,901
2010,1,83.3,413531.0,71.992,0.453,41
2011,0,79.7,309767.0,57.569,0.228,1393
2011,1,80.4,159910.0,29.353,0.164,81
2012,0,77.8,516168.0,102.294,0.259,2849
2012,1,75.2,177695.0,35.423,0.086,382
2013,0,75.7,432419.0,91.847,0.173,5382
2013,1,72.8,115017.0,24.398,0.052,982
2014,0,76.2,379538.0,88.24,0.121,9344
2014,1,74.4,142423.0,32.934,0.051,1040
2015,0,74.9,417045.0,104.964,0.143,10886
2015,1,70.4,91886.0,23.249,0.038,2136
2016,0,74.2,220776.0,61.131,0.144,13029
2016,1,71.1,88879.0,24.529,0.059,2244
2017,0,73.6,243160.0,75.241,0.123,17189
2017,1,70.1,127916.0,39.61,0.067,2040
2018,0,72.9,186248.0,64.83,0.102,24301
2018,1,69.8,108092.0,37.601,0.062,2328
2019,0,72.0,125144.0,48.872,0.078,24712
2019,1,69.8,74924.0,29.494,0.05,3284
2020,0,70.5,115087.0,53.709,0.083,7856
2020,1,67.0,74452.0,35.025,0.061,2346
2021,0,80.0,67603.0,37.863,0.066,73423
2021,1,80.5,56658.0,31.997,0.061,4120
2022,0,78.2,49069.0,34.509,0.053,89906
2022,1,78.5,40912.0,28.966,0.046,6968
2023,0,81.6,45340.0,42.752,0.066,55308
2023,1,79.7,34220.0,32.452,0.049,4631
2024,0,84.2,32409.0,48.302,0.076,56355
2024,1,67.9,10580.0,15.768,0.024,10847
2025,0,18.7,6882.0,17.234,0.015,87831
2025,1,14.4,3809.0,9.535,0.008,9226
