_publish_year,gap_views_per_day,gap_views_per_day_lo,gap_views_per_day_hi,gap_rating,gap_rating_lo,gap_rating_hi,n_bw,n_others
2007,,,,,,,0,231
2008,-18.836,-26.404,-13.178,-4.3,-4.7,-4.0,1,567
2009,,,,,,,0,1076
2010,-11.497,-22.582,-1.92,4.4,3.4,5.6,3,939
2011,3.222,-44.848,73.181,-6.8,-9.1,-5.3,3,1471
2012,-77.222,-95.976,-52.972,0.4,-2.5,3.0,11,3220
2013,-42.503,-68.085,-8.758,-6.8,-14.3,-1.0,25,6339
2014,12.946,-31.689,65.563,2.1,0.6,3.7,38,10346
2015,-45.638,-69.435,-9.873,-3.6,-7.0,-0.6,61,12961
2016,-39.426,-47.461,-28.374,-2.1,-4.5,0.3,121,15152
2017,-15.519,-42.477,24.963,-0.5,-3.3,2.1,114,19115
2018,-23.52,-35.287,-10.09,3.8,1.8,5.8,234,26395
2019,-23.056,-30.002,-14.205,3.5,1.7,5.1,315,27681
2020,-10.213,-31.427,20.521,1.7,-1.3,4.9,67,10135
2021,-17.233,-20.031,-13.595,1.1,0.1,2.2,1092,76451
2022,-9.741,-13.714,-5.604,0.1,-1.5,1.6,1526,95348
2023,-5.33,-12.238,2.621,1.5,-0.2,3.1,746,59193
2024,-8.544,-15.316,-0.761,5.3,3.9,6.8,834,66368
2025,-7.842,-9.785,-5.465,-3.6,-5.1,-2.0,1945,95112
