category,n_cat,n_bw_cat,share_bw_in_cat,global_share_bw,repr_ratio_bw,log2_rr_bw
asian,45820,0,0.0,0.013,0.002,-9.234
interracial,32363,0,0.0,0.013,0.002,-8.733
solo male,7563,0,0.0,0.013,0.01,-6.635
group,11833,24,0.002,0.013,0.161,-2.637
blonde,111899,471,0.004,0.013,0.321,-1.64
gangbang,7230,41,0.006,0.013,0.442,-1.178
cartoon,8449,52,0.006,0.013,0.477,-1.067
lingerie,7240,49,0.007,0.013,0.525,-0.929
bondage,12308,90,0.007,0.013,0.562,-0.83
anal,49371,437,0.009,0.013,0.675,-0.567
brunette,67062,594,0.009,0.013,0.675,-0.567
cumshot,84643,752,0.009,0.013,0.677,-0.563
blowjob,203781,1866,0.009,0.013,0.697,-0.521
pissing,8931,85,0.01,0.013,0.733,-0.449
massage,13457,129,0.01,0.013,0.735,-0.444
teens,115106,1188,0.01,0.013,0.786,-0.347
french,7348,80,0.011,0.013,0.839,-0.254
lesbian,30669,342,0.011,0.013,0.851,-0.233
public,22199,261,0.012,0.013,0.898,-0.155
fetish,52153,674,0.013,0.013,0.985,-0.022
big tits,159073,2093,0.013,0.013,1.002,0.002
mature,20785,285,0.014,0.013,1.047,0.066
creampie,52785,749,0.014,0.013,1.081,0.112
masturbation,124667,2013,0.016,0.013,1.229,0.298
feet,17335,297,0.017,0.013,1.308,0.387
amateur,151900,2619,0.017,0.013,1.312,0.392
big,13345,258,0.019,0.013,1.477,0.562
tits,13535,262,0.019,0.013,1.478,0.564
squirting,21213,582,0.027,0.013,2.091,1.064
ebony,19959,3341,0.167,0.013,12.739,3.671
