,blowjob,big tits,amateur,masturbation,teens,blonde,cumshot,brunette,creampie,fetish,anal,asian,interracial,lesbian,public,squirting,mature,ebony,feet,tits,massage,big,bondage,group,pissing,cartoon,solo male,french,lingerie,gangbang
blowjob,0,63760,43796,29984,42746,48888,48693,24821,19406,11255,22293,19798,17863,283,7427,4288,7339,7315,2509,0,3315,0,3091,9559,1149,1196,275,2860,3574,4668
big tits,63760,0,34574,37640,23620,42122,23424,20977,11465,12470,12484,9650,10379,14468,5843,5050,8367,6241,2811,0,4406,0,2374,4197,1218,4313,278,1500,3489,2196
amateur,43796,34574,0,33365,46315,20980,31245,21555,15588,18479,14797,9463,5377,5510,7552,6057,5187,8995,5931,0,2906,0,3216,1823,2396,685,1691,2434,937,1322
masturbation,29984,37640,33365,0,24980,27829,10859,10213,4861,12554,11030,10542,3016,9100,4065,8185,4313,4042,3409,0,3326,0,2214,6103,3023,291,5072,1207,3022,1799
teens,42746,23620,46315,24980,0,22419,22919,18007,10934,12050,11368,9230,4803,6872,4475,3276,690,4109,3161,0,2552,0,2064,2946,1231,2561,407,1228,1079,1238
blonde,48888,42122,20980,27829,22419,0,15627,5454,7113,9385,10789,1436,8200,11861,4195,2465,4904,1061,2932,0,2249,0,2512,4500,1486,620,179,1436,3040,1745
cumshot,48693,23424,31245,10859,22919,15627,0,11258,5925,7382,8475,5442,5448,67,3089,2321,2486,3064,2390,0,1740,0,1450,1656,573,892,1443,1530,625,1663
brunette,24821,20977,21555,10213,18007,5454,11258,0,3783,7143,6636,4383,3594,7418,2691,1591,1045,1615,2161,0,1507,0,1463,343,472,569,46,1385,1073,686
creampie,19406,11465,15588,4861,10934,7113,5925,3783,0,2634,6257,8387,3421,28,1419,2414,1444,1931,672,0,739,0,613,960,285,1068,564,687,226,713
fetish,11255,12470,18479,12554,12050,9385,7382,7143,2634,0,5605,2125,1354,4745,2686,2404,1415,1571,1952,0,1445,0,4992,817,4545,628,650,544,455,398
anal,22293,12484,14797,11030,11368,10789,8475,6636,6257,5605,0,2649,4403,1826,1060,2215,1173,1738,744,0,464,0,1578,2682,543,624,313,806,1005,1352
asian,19798,9650,9463,10542,9230,1436,5442,4383,8387,2125,2649,0,2183,1247,949,1717,1269,437,898,0,1276,0,1102,2776,294,208,468,128,578,1424
interracial,17863,10379,5377,3016,4803,8200,5448,3594,3421,1354,4403,2183,0,1169,538,741,1397,3516,457,0,674,0,240,1348,84,223,99,186,630,1263
lesbian,283,14468,5510,9100,6872,11861,67,7418,28,4745,1826,1247,1169,0,633,869,892,1357,939,0,1990,0,1036,137,556,509,0,128,1155,29
public,7427,5843,7552,4065,4475,4195,3089,2691,1419,2686,1060,949,538,633,0,858,509,628,566,0,172,0,337,346,1327,408,550,469,95,228
squirting,4288,5050,6057,8185,3276,2465,2321,1591,2414,2404,2215,1717,741,869,858,0,595,967,516,0,329,0,539,424,1782,139,290,215,206,258
mature,7339,8367,5187,4313,690,4904,2486,1045,1444,1415,1173,1269,1397,892,509,595,0,446,397,0,450,0,370,369,236,61,458,133,169,217
ebony,7315,6241,8995,4042,4109,1061,3064,1615,1931,1571,1738,437,3516,1357,628,967,446,0,374,0,441,0,284,683,134,76,179,99,317,292
feet,2509,2811,5931,3409,3161,2932,2390,2161,672,1952,744,898,457,939,566,516,397,374,0,0,696,0,1217,103,284,98,206,233,249,40
tits,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13345,0,0,0,0,0,0,0,0
massage,3315,4406,2906,3326,2552,2249,1740,1507,739,1445,464,1276,674,1990,172,329,450,441,696,0,0,0,258,100,48,35,345,108,100,19
big,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13345,0,0,0,0,0,0,0,0,0,0
bondage,3091,2374,3216,2214,2064,2512,1450,1463,613,4992,1578,1102,240,1036,337,539,370,284,1217,0,258,0,0,403,262,109,142,113,214,179
group,9559,4197,1823,6103,2946,4500,1656,343,960,817,2682,2776,1348,137,346,424,369,683,103,0,100,0,403,0,74,0,0,66,391,2428
pissing,1149,1218,2396,3023,1231,1486,573,472,285,4545,543,294,84,556,1327,1782,236,134,284,0,48,0,262,74,0,21,299,66,30,50
cartoon,1196,4313,685,291,2561,620,892,569,1068,628,624,208,223,509,408,139,61,76,98,0,35,0,109,0,21,0,5,19,1,140
solo male,275,278,1691,5072,407,179,1443,46,564,650,313,468,99,0,550,290,458,179,206,0,345,0,142,0,299,5,0,132,0,29
french,2860,1500,2434,1207,1228,1436,1530,1385,687,544,806,128,186,128,469,215,133,99,233,0,108,0,113,66,66,19,132,0,48,52
lingerie,3574,3489,937,3022,1079,3040,625,1073,226,455,1005,578,630,1155,95,206,169,317,249,0,100,0,214,391,30,1,0,48,0,193
gangbang,4668,2196,1322,1799,1238,1745,1663,686,713,398,1352,1424,1263,29,228,258,217,292,40,0,19,0,179,2428,50,140,29,52,193,0
