category,race_ethnicity,count,share_in_category,global_group_share,repr_ratio,log2_rr
amateur,middle_eastern_north_african,876,0.006,0.004,1.583,0.663
amateur,latina,11364,0.075,0.058,1.285,0.362
amateur,black,8792,0.058,0.046,1.263,0.337
amateur,unknown,92760,0.611,0.521,1.173,0.23
amateur,asian,9385,0.062,0.088,0.706,-0.503
amateur,white,16728,0.11,0.165,0.668,-0.581
amateur,mixed_or_other,11995,0.079,0.119,0.662,-0.594
anal,middle_eastern_north_african,279,0.006,0.004,1.555,0.637
anal,white,9990,0.202,0.165,1.228,0.296
anal,mixed_or_other,6631,0.134,0.119,1.127,0.172
anal,latina,3058,0.062,0.058,1.064,0.09
anal,unknown,25679,0.52,0.521,0.999,-0.002
anal,black,1566,0.032,0.046,0.693,-0.53
anal,asian,2168,0.044,0.088,0.502,-0.995
asian,asian,37925,0.828,0.088,9.45,3.24
asian,mixed_or_other,7895,0.172,0.119,1.445,0.531
big,middle_eastern_north_african,162,0.012,0.004,3.348,1.743
big,latina,1980,0.148,0.058,2.548,1.35
big,unknown,8921,0.668,0.521,1.283,0.36
big,black,713,0.053,0.046,1.167,0.223
big,mixed_or_other,652,0.049,0.119,0.41,-1.285
big,white,733,0.055,0.165,0.334,-1.584
big,asian,184,0.014,0.088,0.158,-2.66
big tits,middle_eastern_north_african,754,0.005,0.004,1.302,0.38
big tits,latina,11241,0.071,0.058,1.214,0.28
big tits,unknown,87013,0.547,0.521,1.05,0.071
big tits,white,26994,0.17,0.165,1.03,0.043
big tits,black,6884,0.043,0.046,0.945,-0.082
big tits,mixed_or_other,17166,0.108,0.119,0.905,-0.144
big tits,asian,9021,0.057,0.088,0.648,-0.627
blonde,white,32387,0.289,0.165,1.757,0.813
blonde,unknown,63255,0.565,0.521,1.085,0.118
blonde,mixed_or_other,10909,0.097,0.119,0.818,-0.29
blonde,latina,2712,0.024,0.058,0.416,-1.264
blonde,middle_eastern_north_african,157,0.001,0.004,0.387,-1.369
blonde,black,1450,0.013,0.046,0.283,-1.821
blonde,asian,1029,0.009,0.088,0.105,-3.25
blowjob,white,41958,0.206,0.165,1.25,0.321
blowjob,mixed_or_other,26203,0.129,0.119,1.079,0.109
blowjob,asian,18959,0.093,0.088,1.062,0.087
blowjob,latina,12252,0.06,0.058,1.033,0.046
blowjob,unknown,95842,0.47,0.521,0.903,-0.147
blowjob,black,7954,0.039,0.046,0.852,-0.231
blowjob,middle_eastern_north_african,613,0.003,0.004,0.826,-0.275
bondage,middle_eastern_north_african,64,0.005,0.004,1.447,0.534
bondage,unknown,7997,0.65,0.521,1.247,0.319
bondage,asian,1130,0.092,0.088,1.049,0.069
bondage,white,1677,0.136,0.165,0.827,-0.274
bondage,black,427,0.035,0.046,0.759,-0.399
bondage,latina,391,0.032,0.058,0.547,-0.871
bondage,mixed_or_other,622,0.051,0.119,0.424,-1.237
brunette,latina,5199,0.078,0.058,1.332,0.413
brunette,unknown,41704,0.622,0.521,1.194,0.256
brunette,middle_eastern_north_african,284,0.004,0.004,1.165,0.221
brunette,mixed_or_other,6461,0.096,0.119,0.808,-0.307
brunette,asian,4174,0.062,0.088,0.711,-0.493
brunette,white,7338,0.109,0.165,0.664,-0.59
brunette,black,1902,0.028,0.046,0.619,-0.691
cartoon,unknown,7587,0.898,0.521,1.723,0.785
cartoon,black,158,0.019,0.046,0.41,-1.285
cartoon,asian,271,0.032,0.088,0.367,-1.445
cartoon,mixed_or_other,327,0.039,0.119,0.325,-1.62
cartoon,middle_eastern_north_african,6,0.001,0.004,0.227,-2.139
cartoon,latina,46,0.005,0.058,0.095,-3.389
cartoon,white,54,0.006,0.165,0.039,-4.663
creampie,asian,8565,0.162,0.088,1.853,0.89
creampie,middle_eastern_north_african,302,0.006,0.004,1.574,0.654
creampie,latina,3757,0.071,0.058,1.223,0.29
creampie,unknown,28636,0.543,0.521,1.042,0.059
creampie,mixed_or_other,5968,0.113,0.119,0.948,-0.076
creampie,black,2259,0.043,0.046,0.934,-0.098
creampie,white,3298,0.062,0.165,0.379,-1.399
cumshot,latina,5860,0.069,0.058,1.189,0.25
cumshot,unknown,50802,0.6,0.521,1.152,0.205
cumshot,black,3339,0.039,0.046,0.861,-0.216
cumshot,mixed_or_other,8684,0.103,0.119,0.861,-0.217
cumshot,middle_eastern_north_african,261,0.003,0.004,0.849,-0.237
