category,degree,strength,eigencentrality,pagerank,clustering,log2_rr_bw
blowjob,27,452151.0,1.0,1.0,0.9886,
big tits,27,369316.0,0.8536,0.833,0.9886,
amateur,27,352176.0,0.7997,0.7935,0.9886,
teens,27,287280.0,0.7033,0.6481,0.9886,
masturbation,27,276044.0,0.6374,0.647,0.9886,
blonde,27,265427.0,0.6721,0.6048,0.9886,
cumshot,27,221686.0,0.5936,0.5075,0.9886,
brunette,27,161889.0,0.4122,0.3841,0.9886,
anal,27,134909.0,0.3381,0.3294,0.9886,
fetish,27,131683.0,0.3025,0.3334,0.9886,
creampie,27,113537.0,0.2869,0.2845,0.9886,
asian,27,100059.0,0.2511,0.257,0.9886,
interracial,27,82606.0,0.2125,0.2185,0.9886,
lesbian,26,74824.0,0.1749,0.2048,0.9969,
public,27,53115.0,0.1344,0.1595,0.9886,
ebony,27,51912.0,0.131,0.1543,0.9886,
squirting,27,50711.0,0.1165,0.1556,0.9886,
mature,27,46331.0,0.1219,0.1429,0.9886,
group,25,45234.0,0.1141,0.1419,1.0,
feet,27,35945.0,0.0839,0.123,0.9886,
bondage,27,32372.0,0.0696,0.1159,0.9886,
massage,27,31690.0,0.076,0.113,0.9886,
gangbang,27,24621.0,0.0576,0.0987,0.9886,
lingerie,26,22901.0,0.0582,0.0937,0.9969,
pissing,27,22468.0,0.0445,0.0955,0.9886,
french,27,17812.0,0.0458,0.0832,0.9886,
cartoon,26,15499.0,0.0397,0.0781,0.9938,
solo male,24,14120.0,0.03,0.077,1.0,
tits,1,13345.0,0.0,0.3099,0.0,
big,1,13345.0,0.0,0.3099,0.0,
